Date	Price	Open	High	Low	Vol.	Change %
2/23/2023	"40,838.51"	"41,167.60"	"41,168.22"	"40,772.52"		-0.80%
2/22/2023	"41,167.60"	"40,949.84"	"41,212.95"	"40,923.03"		0.53%
2/21/2023	"40,949.84"	"40,673.64"	"40,966.71"	"40,673.64"		0.68%
2/20/2023	"40,673.64"	"41,118.61"	"41,162.89"	"40,623.97"		-1.08%
2/17/2023	"41,118.61"	"41,078.65"	"41,214.07"	"40,964.98"		0.10%
2/16/2023	"41,078.65"	"41,326.86"	"41,619.20"	"41,024.78"		-0.60%
2/15/2023	"41,326.85"	"41,150.16"	"41,457.76"	"40,918.85"		0.43%
2/14/2023	"41,150.16"	"41,716.95"	"41,848.76"	"41,047.03"		-1.36%
2/13/2023	"41,716.95"	"41,741.78"	"41,991.16"	"41,644.31"		-0.06%
2/10/2023	"41,741.78"	"42,466.59"	"42,544.47"	"41,663.22"		-1.71%
2/9/2023	"42,466.59"	"41,723.32"	"42,567.75"	"41,723.32"		1.78%
2/8/2023	"41,723.32"	"41,522.76"	"41,846.85"	"41,404.62"		0.48%
2/7/2023	"41,522.76"	"41,190.77"	"41,763.95"	"41,190.77"		0.81%
2/6/2023	"41,190.77"	"40,471.16"	"41,302.29"	"40,471.16"		1.78%
2/3/2023	"40,471.16"	"40,733.51"	"40,872.87"	"40,329.75"		-0.64%
2/2/2023	"40,733.51"	"40,619.95"	"40,826.67"	"40,444.91"		0.28%
2/1/2023	"40,619.94"	"40,673.06"	"40,985.46"	"40,611.15"		-0.13%
1/31/2023	"40,673.06"	"39,871.27"	"40,717.26"	"39,871.27"		2.01%
1/30/2023	"39,871.27"	"40,450.53"	"40,666.96"	"39,844.39"		-1.43%
1/27/2023	"40,450.53"	"40,846.53"	"41,095.56"	"40,402.72"		-0.97%
1/26/2023	"40,846.53"	"39,784.90"	"40,994.69"	"39,784.90"		2.67%
1/25/2023	"39,784.90"	"39,055.65"	"39,945.62"	"39,055.65"		1.87%
1/24/2023	"39,055.65"	"38,443.59"	"39,091.70"	"38,443.59"		1.59%
1/23/2023	"38,443.59"	"38,407.98"	"38,553.12"	"38,135.53"		0.09%
1/20/2023	"38,407.98"	"38,831.58"	"38,982.16"	"38,291.70"		-1.09%
1/19/2023	"38,831.58"	"38,791.09"	"39,064.90"	"38,730.30"		0.10%
1/18/2023	"38,791.09"	"38,342.21"	"38,945.97"	"38,257.56"		1.17%
1/17/2023	"38,342.21"	"39,720.75"	"39,942.28"	"38,287.81"		-3.47%
1/16/2023	"39,720.75"	"40,323.45"	"40,354.72"	"39,660.75"		-1.49%
1/13/2023	"40,323.45"	"40,803.89"	"40,803.89"	"40,195.67"		-1.18%
1/12/2023	"40,803.89"	"40,758.20"	"41,219.67"	"40,671.34"		0.11%
1/11/2023	"40,758.20"	"40,801.51"	"40,984.67"	"40,597.35"		-0.11%
1/10/2023	"40,801.50"	"40,504.76"	"40,986.44"	"40,504.76"		0.73%
1/9/2023	"40,504.76"	"41,007.52"	"41,074.73"	"40,436.82"		-1.23%
1/6/2023	"41,007.52"	"40,716.74"	"41,097.89"	"40,684.49"		0.71%
1/5/2023	"40,716.74"	"40,539.30"	"40,790.74"	"40,539.30"		0.44%
1/4/2023	"40,539.30"	"40,630.64"	"40,896.18"	"40,497.98"		-0.22%
1/3/2023	"40,630.64"	"40,815.90"	"41,015.92"	"40,595.58"		-0.45%
1/2/2023	"40,815.90"	"40,420.45"	"41,027.51"	"40,348.89"		0.98%
12/30/2022	"40,420.45"	"39,747.35"	"40,420.45"	"39,694.12"		1.69%
12/29/2022	"39,747.35"	"39,279.43"	"39,747.35"	"39,205.17"		1.19%
12/28/2022	"39,279.43"	"39,802.91"	"39,866.99"	"39,027.51"		-1.32%
12/27/2022	"39,802.91"	"40,155.16"	"40,315.77"	"39,705.66"		-0.88%
12/26/2022	"40,155.16"	"39,669.20"	"40,367.43"	"39,669.20"		1.23%
12/23/2022	"39,669.20"	"39,838.33"	"39,938.32"	"39,497.73"		-0.42%
12/22/2022	"39,838.33"	"39,342.89"	"39,926.34"	"39,330.02"		1.26%
12/21/2022	"39,342.89"	"39,832.45"	"40,022.37"	"39,276.70"		-1.23%
